account_id,account_holder,account_status,statement_period,transaction_date,transaction_type,transaction_amount,opening_balance
ACC-1001,Allison Hill,Active,June 2026,2026-06-24,Withdrawal,-186.34,987.71
ACC-1001,Allison Hill,Active,June 2026,2026-06-18,Deposit,1018.28,987.71
ACC-1001,Allison Hill,Active,June 2026,2026-06-02,Deposit,889.83,987.71
ACC-1001,Allison Hill,Active,June 2026,2026-06-08,Deposit,149.61,987.71
ACC-1001,Allison Hill,Active,June 2026,2026-06-18,Transfer,907.01,987.71
ACC-1001,Allison Hill,Active,June 2026,2026-06-23,Withdrawal,-575.66,987.71
ACC-1001,Allison Hill,Active,June 2026,2026-06-15,Transfer,635.08,987.71
ACC-1002,Noah Rhodes,Active,June 2026,2026-06-11,Withdrawal,-561.53,16283.89
ACC-1002,Noah Rhodes,Active,June 2026,2026-06-25,Fee,-132.83,16283.89
ACC-1002,Noah Rhodes,Active,June 2026,2026-06-13,Fee,-90.75,16283.89
ACC-1003,Angie Henderson,Closed,June 2026,,,,17026.14
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-13,Transfer,195.99,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-27,Deposit,832.54,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-12,Transfer,1329.32,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-03,Transfer,296.51,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-25,Deposit,995.28,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-28,Fee,-788.33,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-13,Withdrawal,-694.52,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-27,Fee,-368.19,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-12,Fee,-138.5,16239.0
ACC-1004,Daniel Wagner,Active,June 2026,2026-06-23,Withdrawal,-539.44,16239.0
ACC-1005,Cristian Santos,Active,June 2026,2026-06-06,Transfer,1096.4,13136.69
ACC-1005,Cristian Santos,Active,June 2026,2026-06-21,Interest Credit,575.39,13136.69
ACC-1005,Cristian Santos,Active,June 2026,2026-06-11,Transfer,337.23,13136.69
ACC-1005,Cristian Santos,Active,June 2026,2026-06-02,Deposit,351.28,13136.69
ACC-1005,Cristian Santos,Active,June 2026,2026-06-03,Fee,-326.92,13136.69
ACC-1006,Connie Lawrence,Active,June 2026,2026-06-13,Withdrawal,-527.8,18886.74
ACC-1006,Connie Lawrence,Active,June 2026,2026-06-05,Interest Credit,222.88,18886.74
ACC-1006,Connie Lawrence,Active,June 2026,2026-06-18,Withdrawal,-598.54,18886.74
ACC-1006,Connie Lawrence,Active,June 2026,2026-06-14,Fee,-600.14,18886.74
ACC-1006,Connie Lawrence,Active,June 2026,2026-06-08,Transfer,605.11,18886.74
ACC-1006,Connie Lawrence,Active,June 2026,2026-06-03,Withdrawal,-412.53,18886.74
